# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
FOXN2	ENSG00000170802	ENST00000340553	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FOXN3	ENSG00000053254	ENST00000261302	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
FOXO1	ENSG00000150907	ENST00000379561	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FOXO3	ENSG00000118689	ENST00000343882	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FOXO6	ENSG00000204060	ENST00000641094	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXP1	ENSG00000114861	ENST00000648426	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
FOXP2	ENSG00000128573	ENST00000703616	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
FPGT-TNNI3K	ENSG00000259030	ENST00000557284	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FRAS1	ENSG00000138759	ENST00000512123	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0
FRAT1	ENSG00000165879	ENST00000371021	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FREM1	ENSG00000164946	ENST00000380880	protein_coding	0	0	1	4	0	0	0	0	4	1	0	0	0	0	0	0	0	0
FREM2	ENSG00000150893	ENST00000280481	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FREM2-AS1	ENSG00000225350	ENST00000448887		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FREY1	ENSG00000234776	ENST00000449465	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FRG1-DT	ENSG00000245685	ENST00000660244		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FRG2DP	ENSG00000261711	ENST00000566967	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FRG2FP	ENSG00000232783	ENST00000453982	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FRG2KP	ENSG00000290715	ENST00000726743		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FRGCA	ENSG00000236663	ENST00000770799		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FRK	ENSG00000111816	ENST00000606080	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FRMD1	ENSG00000153303	ENST00000646385	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FRMD3	ENSG00000172159	ENST00000304195	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
FRMD3-AS1	ENSG00000229109	ENST00000662757		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FRMD4A	ENSG00000151474	ENST00000495956	protein_coding	0	0	0	8	1	0	0	0	6	0	0	0	0	0	0	0	0	1
FRMD4B	ENSG00000114541	ENST00000398540	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FRMD5	ENSG00000171877	ENST00000417257	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
FRMPD1	ENSG00000070601	ENST00000377765	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
FRMPD2	ENSG00000170324	ENST00000636244	protein_coding	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0
FRRS1	ENSG00000156869	ENST00000287474	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FRS3	ENSG00000137218	ENST00000259748	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FRY	ENSG00000073910	ENST00000647500	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
FRY-AS1	ENSG00000237637	ENST00000428419		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FRYL	ENSG00000075539	ENST00000358350	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FSBP	ENSG00000265817	ENST00000481490	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FSCN2	ENSG00000186765	ENST00000334850	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FSCN3	ENSG00000106328	ENST00000265825	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FSD2	ENSG00000186628	ENST00000334574	protein_coding	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
FSHR	ENSG00000170820	ENST00000406846	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FSIP1	ENSG00000150667	ENST00000350221	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FSTL1	ENSG00000163430	ENST00000295633	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FSTL4	ENSG00000053108	ENST00000265342	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
FSTL5	ENSG00000168843	ENST00000306100	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FTCD	ENSG00000160282	ENST00000397748	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0
FTCD-AS1	ENSG00000237338	ENST00000446649		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FTH1P26	ENSG00000218213	ENST00000406512	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FTLP3	ENSG00000226608	ENST00000427242	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FTLP6	ENSG00000254984	ENST00000355274	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FTO	ENSG00000140718	ENST00000637969	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0
FUBP3	ENSG00000107164	ENST00000319725	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FURIN	ENSG00000140564	ENST00000268171	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FUT1	ENSG00000174951	ENST00000645652	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FUT10	ENSG00000172728	ENST00000327671	protein_coding	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0
FUT4	ENSG00000196371	ENST00000358752	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FUT8	ENSG00000033170	ENST00000360689	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
FUT9	ENSG00000172461	ENST00000302103	protein_coding	0	0	0	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0
FXR1	ENSG00000114416	ENST00000698794	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FXYD5	ENSG00000089327	ENST00000718431	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FXYD6	ENSG00000137726	ENST00000529335	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FXYD6-FXYD2	ENSG00000255245	ENST00000614497	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FYB1	ENSG00000082074	ENST00000646045	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
FYB2	ENSG00000187889	ENST00000343433	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FYCO1	ENSG00000163820	ENST00000296137	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FYN	ENSG00000010810	ENST00000354650	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FZD10	ENSG00000111432	ENST00000229030	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FZD10-AS1	ENSG00000250208	ENST00000505807		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FZD2	ENSG00000180340	ENST00000315323	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FZR1	ENSG00000105325	ENST00000395095	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
G2E3	ENSG00000092140	ENST00000553504	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G2E3-AS1	ENSG00000257636	ENST00000847977		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G3BP1	ENSG00000145907	ENST00000677105	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G6PC2	ENSG00000152254	ENST00000375363	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
G6PC3	ENSG00000141349	ENST00000269097	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GAA	ENSG00000171298	ENST00000302262	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
GAB2	ENSG00000033327	ENST00000361507	protein_coding	0	0	0	5	1	0	0	0	4	0	0	0	0	0	0	0	0	0
GABBR2	ENSG00000136928	ENST00000259455	protein_coding	0	0	1	9	0	0	0	0	9	1	0	0	0	0	0	0	0	0
GABPB2	ENSG00000143458	ENST00000368918	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GABRA2	ENSG00000151834	ENST00000507069	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GABRA4	ENSG00000109158	ENST00000264318	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GABRA5	ENSG00000186297	ENST00000335625	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GABRB1	ENSG00000163288	ENST00000295454	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GABRB2	ENSG00000145864	ENST00000274547	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GABRB3	ENSG00000166206	ENST00000541819	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
GABRG1	ENSG00000163285	ENST00000295452	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GABRG3	ENSG00000182256	ENST00000615808	protein_coding	0	0	0	7	0	0	0	1	6	0	0	0	0	0	0	0	0	0
GABRG3-AS1	ENSG00000228740	ENST00000660679		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
GABRR3	ENSG00000183185	ENST00000472788	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GACAT1	ENSG00000232991	ENST00000419650		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAD1	ENSG00000128683	ENST00000358196	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAD3P	ENSG00000267382	ENST00000592477	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GADD45B	ENSG00000099860	ENST00000587345	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GADD45G	ENSG00000130222	ENST00000252506	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GADL1	ENSG00000144644	ENST00000282538	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GAL3ST1	ENSG00000128242	ENST00000338911	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GALC	ENSG00000054983	ENST00000261304	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GALK2	ENSG00000156958	ENST00000560031	protein_coding	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0
GALM	ENSG00000143891	ENST00000272252	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GALNS	ENSG00000141012	ENST00000268695	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GALNT10	ENSG00000164574	ENST00000297107	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
GALNT11	ENSG00000178234	ENST00000430044	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
GALNT12	ENSG00000119514	ENST00000375011	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GALNT13	ENSG00000144278	ENST00000409237	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
GALNT14	ENSG00000158089	ENST00000324589	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0
GALNT15	ENSG00000131386	ENST00000339732	protein_coding	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0
GALNT16	ENSG00000100626	ENST00000337827	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0
GALNT16-AS1	ENSG00000258957	ENST00000554898		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GALNT17	ENSG00000185274	ENST00000333538	protein_coding	0	0	0	12	2	0	0	0	10	0	0	0	0	0	0	0	0	0
GALNT18	ENSG00000110328	ENST00000227756	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
GALNT2	ENSG00000143641	ENST00000366672	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
GALNT5	ENSG00000136542	ENST00000259056	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GALNT6	ENSG00000139629	ENST00000356317	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GALNT7	ENSG00000109586	ENST00000265000	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GALNT8	ENSG00000130035	ENST00000252318	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GALNT9	ENSG00000182870	ENST00000328957	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GALNT9-AS1	ENSG00000256943	ENST00000829595		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GALNTL6	ENSG00000174473	ENST00000506823	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
GALR1	ENSG00000166573	ENST00000299727	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GALT	ENSG00000213930	ENST00000378842	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAMT	ENSG00000130005	ENST00000447102	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GAN	ENSG00000261609	ENST00000648994	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
GAP43	ENSG00000172020	ENST00000393780	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GAPDHP20	ENSG00000224333	ENST00000444107	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAPDHP25	ENSG00000213594	ENST00000447061	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GAPDHP30	ENSG00000183663	ENST00000513953	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAPDHP31	ENSG00000235868	ENST00000509325	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GAPDHP36	ENSG00000213158	ENST00000480688	transcribed_processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAPDHP44	ENSG00000213352	ENST00000513513	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAPDHP71	ENSG00000213376	ENST00000511530	processed_pseudogene	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GAPVD1	ENSG00000165219	ENST00000394105	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAREM2	ENSG00000157833	ENST00000401533	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GARIN2	ENSG00000172717	ENST00000612183	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GARRE1	ENSG00000166398	ENST00000299505	protein_coding	0	1	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0
GARS1	ENSG00000106105	ENST00000675651	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L3	ENSG00000139354	ENST00000266754	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS7	ENSG00000007237	ENST00000432992	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
GASK1B-AS1	ENSG00000248429	ENST00000503611		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAST	ENSG00000184502	ENST00000329402	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GATA2	ENSG00000179348	ENST00000696466	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GATA4	ENSG00000136574	ENST00000532059	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
GATA6	ENSG00000141448	ENST00000269216	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GATAD2A	ENSG00000167491	ENST00000404158	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATAD2B	ENSG00000143614	ENST00000368655	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GATB	ENSG00000059691	ENST00000263985	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GATD3	ENSG00000160221	ENST00000291577	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GATM	ENSG00000171766	ENST00000396659	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBA2	ENSG00000070610	ENST00000378103	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBA3	ENSG00000249948	ENST00000508166	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBE1	ENSG00000114480	ENST00000429644	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
GBF1	ENSG00000107862	ENST00000673650	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
GBP1P1	ENSG00000225492	ENST00000394662	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBP1P1	ENSG00000290525	ENST00000784567		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBP2	ENSG00000162645	ENST00000370466	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBP3	ENSG00000117226	ENST00000370481	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBP6	ENSG00000183347	ENST00000370456	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GBP7	ENSG00000213512	ENST00000294671	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GCAT	ENSG00000100116	ENST00000323205	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCAWKR	ENSG00000272808	ENST00000431060		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCC1	ENSG00000179562	ENST00000321407	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCC2	ENSG00000135968	ENST00000309863	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCK	ENSG00000106633	ENST00000671824	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GCLC	ENSG00000001084	ENST00000643939	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCM1P1	ENSG00000267245	ENST00000590892	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCNT1P2	ENSG00000249206	ENST00000504682	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GCNT1P3	ENSG00000231047	ENST00000450607	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCNT3	ENSG00000140297	ENST00000396065	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GCNT4	ENSG00000176928	ENST00000322348	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCOM1	ENSG00000137878	ENST00000587652	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GCSH	ENSG00000140905	ENST00000315467	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GCSHP3	ENSG00000237580	ENST00000431120	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GDA	ENSG00000119125	ENST00000238018	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GDAP1L1	ENSG00000124194	ENST00000537864	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDAP2	ENSG00000196505	ENST00000369443	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDF1	ENSG00000130283	ENST00000247005	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDF6	ENSG00000156466	ENST00000287020	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GDNF	ENSG00000168621	ENST00000427982	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
GDPD1	ENSG00000153982	ENST00000284116	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDPD3	ENSG00000102886	ENST00000406256	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDPD4	ENSG00000178795	ENST00000376217	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GDPD5	ENSG00000158555	ENST00000336898	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GEMIN5	ENSG00000082516	ENST00000285873	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GEMIN7	ENSG00000142252	ENST00000270257	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
GEMIN7-AS1	ENSG00000267348	ENST00000658996		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GET1	ENSG00000182093	ENST00000649170	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GET1-SH3BGR	ENSG00000285815	ENST00000647779	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GET4	ENSG00000239857	ENST00000265857	protein_coding	0	0	0	4	1	0	0	1	2	0	0	0	0	0	0	0	0	0
GFM1	ENSG00000168827	ENST00000264263	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GFOD1	ENSG00000145990	ENST00000379287	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GFOD2	ENSG00000141098	ENST00000268797	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GFOD3P	ENSG00000227372	ENST00000637775	transcribed_unitary_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GFOD3P	ENSG00000293478	ENST00000452079		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GFPT1	ENSG00000198380	ENST00000357308	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GFPT2	ENSG00000131459	ENST00000253778	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GFRA1	ENSG00000151892	ENST00000355422	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GFRA2	ENSG00000168546	ENST00000517328	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
GFRA3	ENSG00000146013	ENST00000714689	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
GGA2	ENSG00000103365	ENST00000309859	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
GGA3	ENSG00000125447	ENST00000537686	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GGACT	ENSG00000134864	ENST00000376250	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GHITM	ENSG00000165678	ENST00000372134	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GHR	ENSG00000112964	ENST00000620156	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
GIGYF1	ENSG00000146830	ENST00000275732	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GIGYF2	ENSG00000204120	ENST00000409480	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GIHCG	ENSG00000257698	ENST00000659090		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GIMAP1	ENSG00000213203	ENST00000307194	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GIMAP1-GIMAP5	ENSG00000281887	ENST00000611999	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GIMAP8	ENSG00000171115	ENST00000307271	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GIN1	ENSG00000145723	ENST00000399004	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS1	ENSG00000101003	ENST00000696814	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GINS2	ENSG00000131153	ENST00000253462	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GIT1	ENSG00000108262	ENST00000394869	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GJA5	ENSG00000265107	ENST00000579774	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
